=== Started 2020-05-31T19-19-10-108 ===
[INFO ][19:19:10] Ogar - An open source Agar.io server implementation
[INFO ][19:19:10] 418 bad words loaded
[ERROR][19:19:10] /Users/ajzwi/Code/og3/src/enum/userRoles.json is missing.
[INFO ][19:19:10] Listening on port 80
[INFO ][19:19:10] Current game mode is Free For All
[INFO ][19:19:13] Connect: ::ffff:76.218.82.23  54943
[INFO ][19:19:14] a has joined the server!
[NONE ][19:19:15] you are pressing space
[NONE ][19:19:15] you are pressing space
[NONE ][19:19:16] you are pressing space
[NONE ][19:19:16] you are pressing space
[NONE ][19:19:17] you are pressing space
[NONE ][19:19:17] you are pressing space
[NONE ][19:19:18] you are pressing space
[NONE ][19:19:18] you are pressing space
[NONE ][19:19:18] you are pressing space
[NONE ][19:19:18] you are pressing space
[NONE ][19:19:19] you are pressing space
[NONE ][19:19:19] you are pressing space
[NONE ][19:19:19] you are pressing space
[NONE ][19:19:19] you are pressing the shift key
[NONE ][19:19:19] you are pressing space
[NONE ][19:19:19] you are pressing space
[NONE ][19:19:19] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:21] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:22] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:23] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:24] you are pressing space
[NONE ][19:19:25] you are pressing space
[NONE ][19:19:25] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:26] you are pressing space
[NONE ][19:19:28] you are pressing space
[NONE ][19:19:28] you are pressing space
[NONE ][19:19:28] you are pressing space
[NONE ][19:19:29] you are pressing space
[NONE ][19:19:29] you are pressing space
[INFO ][19:19:33] Disconnect: ::ffff:76.218.82.23  54943
